Legajo;Genero;Yr_ingreso;Yr_nacimiento;Edad_hoy;Edad_al_ingreso;Cantidad_de_hijos;Distancia_al_trabajo;Trabajo_flexible;Egreso_de_la_empresa;Nivel_formacion
136394;Mujer;2008;1972;47;36;2;55.00;Si;Si;Uni com
136395;Mujer;2008;1981;38;27;1;73.00;Si;Si;Sec com
136396;Mujer;2008;1985;34;23;1;26.00;No;No;Prim com
136397;Mujer;2008;1971;48;37;2;;Si;Si;Prim com
136398;Mujer;2008;1974;45;34;3;16.00;No;Si;Prim com
136399;Mujer;2008;1973;46;35;4;39.00;No;No;Sec com
136400;Mujer;2008;1985;34;23;2;59.00;No;No;Prim com
136401;Mujer;2008;1984;35;24;2;64.00;No;Si;Sec com
136402;Mujer;2008;1984;35;24;0;72.00;Si;Si;Prim inc
136403;Hombre;2008;1976;43;32;2;59.00;Si;Si;Uni com
136404;Mujer;2008;1978;41;30;0;65.00;No;No;Prim inc
136405;Mujer;2008;1971;48;37;4;60.00;No;Si;Prim inc
136406;Mujer;2008;1985;34;23;3;7.00;No;Si;Prim com
136407;Hombre;2008;1978;41;30;2;73.00;Si;Si;Prim inc
136408;Hombre;2008;1980;39;28;0;15.00;Si;Si;Prim inc
136409;Hombre;2008;1978;41;30;3;30.00;Si;Si;Sec com
136410;Hombre;2008;1973;46;35;3;28.00;Si;Si;Prim inc
136411;Mujer;2008;1981;38;27;2;23.00;No;Si;Prim inc
136412;Hombre;2008;1983;36;25;0;51.00;Si;Si;Sec com
136413;Hombre;2008;1976;43;32;3;27.00;Si;Si;Prim com
136414;Mujer;2008;1978;41;30;2;16.00;No;Si;Prim inc
136415;Mujer;2008;1975;44;33;3;5.00;No;Si;Sec com
136416;Hombre;2008;1983;36;25;0;65.00;Si;Si;Prim com
136417;Mujer;2008;1975;44;33;3;8.00;No;Si;Sec com
136418;Hombre;2008;1979;40;29;1;62.00;Si;Si;Prim com
136419;Hombre;2008;1981;38;27;2;41.00;Si;Si;Prim com
136420;Hombre;2008;1975;44;33;4;41.00;No;Si;Prim inc
136421;Hombre;2008;1986;33;22;2;20.00;No;Si;Uni com
136422;Hombre;2008;1971;48;37;3;32.00;Si;Si;Sec com
136423;Hombre;2008;1983;36;25;2;15.00;Si;Si;Sec com
136424;Hombre;2008;1984;35;24;2;19.00;No;Si;Prim inc
136425;Hombre;2008;1983;36;25;0;17.00;Si;Si;Prim com
136426;Hombre;2008;1977;42;31;3;33.00;Si;Si;Uni com
136427;Hombre;2008;1974;45;34;4;17.00;Si;Si;Sec com
136428;Hombre;2008;1982;37;26;1;22.00;Si;Si;Sec com
136429;Hombre;2008;1974;45;34;2;46.00;Si;No;Prim com
136430;Mujer;2008;1982;37;26;1;45.00;No;No;Uni com
136431;Hombre;2008;1986;33;22;1;55.00;Si;No;Prim com
136432;Hombre;2008;1979;40;29;2;67.00;Si;No;Uni com
136433;Hombre;2008;1979;40;29;2;61.00;Si;Si;Prim com
136434;Mujer;2008;1986;33;22;1;17.00;No;No;Sec com
136435;Hombre;2008;1979;40;29;0;29.00;No;Si;Uni com
136436;Hombre;2008;1979;40;29;0;37.00;Si;Si;Sec com
136437;Hombre;2008;1983;36;25;0;28.00;Si;Si;Uni com
136438;Hombre;2008;1981;38;27;0;25.00;Si;No;Sec com
136439;Mujer;2008;1971;48;37;3;62.00;No;No;Prim com
136440;Hombre;2008;1972;47;36;3;35.00;Si;Si;Sec com
136441;Hombre;2008;1979;40;29;1;62.00;No;No;Prim inc
136442;Hombre;2008;1975;44;33;4;55.00;Si;No;Uni com
136443;Hombre;2008;1977;42;31;4;36.00;Si;Si;Prim inc
136444;Mujer;2008;1978;41;30;2;73.00;Si;No;Sec com
136445;Mujer;2008;1976;43;32;1;67.00;Si;No;Uni com
136446;Hombre;2008;1977;42;31;1;71.00;No;No;Prim inc
136447;Hombre;2008;1974;45;34;4;61.00;Si;Si;Sec com
136448;Hombre;2008;1972;47;36;4;39.00;No;Si;Sec com
136449;Hombre;2008;1976;43;32;1;42.00;No;No;Uni com
136450;Hombre;2008;1985;34;23;2;53.00;Si;Si;Prim inc
136451;Hombre;2008;1985;34;23;0;52.00;No;No;Uni com
136452;Hombre;2008;1986;33;22;2;75.00;Si;Si;Prim com
136453;Hombre;2008;1983;36;25;3;15.00;Si;Si;Uni com
136454;Hombre;2008;1973;46;35;4;7.00;Si;Si;Uni com
136455;Hombre;2008;1973;46;35;3;24.00;Si;Si;Sec com
136456;Hombre;2008;1971;48;37;2;23.00;Si;Si;Uni com
136457;Hombre;2008;1972;47;36;2;48.00;Si;Si;Prim com
136458;Hombre;2008;1972;47;36;4;13.00;No;Si;Uni com
136459;Mujer;2008;1985;34;23;0;40.00;Si;Si;Prim inc
136460;Mujer;2008;1975;44;33;4;9.00;Si;No;Uni com
136461;Mujer;2008;1974;45;34;4;9.00;Si;Si;Sec com
136462;Hombre;2008;1977;42;31;1;8.00;Si;Si;Prim inc
136463;Mujer;2008;1976;43;32;3;2.00;Si;No;Sec com
136464;Mujer;2008;1986;33;22;0;75.00;No;Si;Prim com
136465;Mujer;2008;1982;37;26;4;72.00;Si;Si;Prim com
136466;Mujer;2008;1973;46;35;4;71.00;Si;No;Sec com
136467;Hombre;2008;1981;38;27;1;6.00;No;Si;Uni com
136468;Mujer;2008;1985;34;23;2;20.00;Si;Si;Prim com
136469;Mujer;2008;1978;41;30;1;57.00;Si;Si;Uni com
136470;Mujer;2008;1975;44;33;2;61.00;No;Si;Prim com
136471;Mujer;2008;1982;37;26;2;43.00;No;Si;Prim com
136472;Mujer;2008;1978;41;30;2;51.00;No;Si;Prim inc
136473;Mujer;2008;1983;36;25;0;65.00;Si;Si;Prim com
136474;Mujer;2008;1986;33;22;0;15.00;Si;Si;Prim inc
136475;Mujer;2008;1971;48;37;1;36.00;Si;No;Prim com
136476;Hombre;2008;1980;39;28;0;28.00;No;No;Prim inc
136477;Hombre;2008;1976;43;32;2;54.00;No;No;Uni com
136478;Hombre;2008;1971;48;37;2;3.00;No;Si;Prim inc
136479;Mujer;2008;1984;35;24;0;32.00;Si;No;Prim inc
136480;Hombre;2008;1983;36;25;0;25.00;No;No;Sec com
136481;Mujer;2008;1980;39;28;2;11.00;Si;Si;Sec com
136482;Hombre;2008;1986;33;22;0;66.00;No;No;Prim com
136483;Hombre;2008;1978;41;30;0;4.00;No;Si;Sec com
136484;Mujer;2008;1971;48;37;2;69.00;No;Si;Prim inc
136485;Mujer;2008;1984;35;24;2;69.00;No;Si;Uni com
136486;Mujer;2008;1972;47;36;0;56.00;No;Si;Prim inc
136487;Hombre;2008;1984;35;24;1;3.00;No;Si;Prim com
136488;Hombre;2008;1985;34;23;0;38.00;No;No;Prim inc
136489;Mujer;2008;1976;43;32;1;63.00;No;Si;Prim com
136490;Hombre;2008;1979;40;29;3;69.00;No;No;Prim com
136491;Mujer;2008;1977;42;31;0;44.00;Si;Si;Prim inc
136492;Mujer;2008;1983;36;25;0;69.00;No;Si;Uni com
136493;Hombre;2008;1984;35;24;0;9.00;No;Si;Prim com
136494;Mujer;2008;1974;45;34;4;38.00;Si;Si;Prim com
136495;Mujer;2008;1972;47;36;2;15.00;Si;Si;Prim inc
136496;Mujer;2008;1972;47;36;3;22.00;Si;Si;Prim com
136497;Hombre;2008;1977;42;31;2;4.00;No;Si;Prim inc
136498;Mujer;2008;1980;39;28;2;48.00;Si;Si;Prim com
136499;Mujer;2008;1980;39;28;2;39.00;No;Si;Prim com
136500;Hombre;2008;1971;48;37;4;33.00;No;Si;Prim inc
136501;Hombre;2008;1981;38;27;0;9.00;Si;Si;Prim com
136502;Mujer;2008;1976;43;32;1;34.00;Si;Si;Sec com
136503;Mujer;2008;1980;39;28;2;51.00;Si;Si;Prim inc
136504;Hombre;2008;1980;39;28;0;46.00;Si;Si;Prim inc
136505;Hombre;2008;1981;38;27;1;45.00;Si;Si;Prim inc
136506;Hombre;2008;1974;45;34;2;34.00;No;Si;Prim com
136507;Hombre;2008;1978;41;30;2;57.00;Si;Si;Prim inc
136508;Hombre;2008;1985;34;23;0;32.00;No;No;Prim inc
136509;Hombre;2008;1985;34;23;0;44.00;Si;Si;Uni com
136510;Hombre;2008;1976;43;32;1;67.00;No;Si;Sec com
136511;Mujer;2008;1977;42;31;2;15.00;Si;No;Sec com
136512;Mujer;2008;1979;40;29;0;6.00;Si;Si;Sec com
136513;Hombre;2008;1972;47;36;3;16.00;No;Si;Prim com
136514;Mujer;2008;1982;37;26;2;11.00;No;No;Uni com
136515;Hombre;2008;1975;44;33;3;52.00;No;Si;Uni com
136516;Hombre;2008;1979;40;29;1;70.00;No;Si;Uni com
136517;Mujer;2008;1973;46;35;0;40.00;Si;No;Uni com
136518;Hombre;2008;1977;42;31;2;1.00;No;Si;Prim inc
136519;Mujer;2008;1983;36;25;2;12.00;Si;No;Sec com
136520;Mujer;2008;1986;33;22;0;51.00;No;No;Prim inc
136521;Hombre;2008;1973;46;35;4;62.00;Si;No;Prim com
136522;Hombre;2008;1973;46;35;2;3.00;No;Si;Prim inc
136523;Hombre;2008;1984;35;24;0;28.00;No;Si;Prim inc
136524;Hombre;2008;1978;41;30;1;41.00;Si;No;Sec com
136525;Mujer;2008;1985;34;23;0;75.00;No;No;Uni com
136526;Hombre;2008;1977;42;31;4;54.00;Si;Si;Prim com
136527;Hombre;2008;1982;37;26;0;32.00;Si;No;Prim inc
136528;Mujer;2008;1973;46;35;3;74.00;No;No;Prim inc
136529;Hombre;2008;1981;38;27;1;7.00;No;Si;Prim inc
136530;Hombre;2008;1983;36;25;2;49.00;No;Si;Sec com
136531;Hombre;2008;1985;34;23;1;49.00;Si;Si;Uni com
136532;Hombre;2008;1977;42;31;1;8.00;Si;Si;Uni com
136533;Hombre;2008;1973;46;35;3;15.00;Si;No;Prim inc
136534;Hombre;2008;1980;39;28;1;15.00;Si;Si;Sec com
136535;Hombre;2008;1979;40;29;2;10.00;Si;Si;Prim com
136536;Hombre;2008;1981;38;27;1;40.00;No;Si;Uni com
136537;Hombre;2008;1986;33;22;2;3.00;Si;Si;Prim com
136538;Hombre;2008;1986;33;22;0;75.00;Si;Si;Prim inc
136539;Hombre;2008;1980;39;28;0;10.00;Si;Si;Prim inc
136540;Hombre;2008;1986;33;22;0;46.00;Si;Si;Uni com
136541;Hombre;2008;1973;46;35;1;61.00;Si;Si;Sec com
136542;Hombre;2008;1975;44;33;2;28.00;Si;Si;Sec com
136543;Hombre;2008;1981;38;27;1;12.00;Si;Si;Sec com
136544;Hombre;2008;1978;41;30;1;20.00;No;Si;Uni com
136545;Mujer;2008;1982;37;26;4;8.00;No;Si;Uni com
136546;Hombre;2008;1981;38;27;0;45.00;Si;Si;Uni com
136547;Mujer;2008;1982;37;26;3;35.00;No;Si;Prim com
136548;Hombre;2008;1979;40;29;1;45.00;Si;Si;Prim com
136549;Hombre;2008;1976;43;32;3;20.00;Si;Si;Sec com
136550;Hombre;2008;1980;39;28;3;3.00;Si;No;Prim inc
136551;Hombre;2008;1980;39;28;2;10.00;Si;Si;Prim com
136552;Mujer;2008;1982;37;26;3;41.00;No;Si;Prim inc
136553;Hombre;2008;1979;40;29;1;29.00;Si;Si;Sec com
136554;Hombre;2008;1974;45;34;3;72.00;Si;No;Uni com
136555;Mujer;2008;1976;43;32;4;70.00;Si;No;Prim inc
136556;Mujer;2008;1981;38;27;0;25.00;Si;No;Uni com
136557;Mujer;2008;1980;39;28;4;19.00;No;Si;Sec com
136558;Hombre;2008;1972;47;36;1;44.00;Si;Si;Sec com
136559;Mujer;2008;1972;47;36;2;67.00;Si;No;Uni com
136560;Hombre;2008;1985;34;23;2;38.00;Si;Si;Prim inc
136561;Mujer;2008;1973;46;35;4;5.00;No;Si;Prim com
136562;Mujer;2008;1975;44;33;3;1.00;Si;No;Uni com
136563;Mujer;2008;1981;38;27;4;74.00;No;Si;Sec com
136564;Mujer;2008;1971;48;37;1;70.00;No;Si;Prim inc
136565;Hombre;2008;1985;34;23;0;48.00;Si;Si;Prim inc
136566;Mujer;2008;1978;41;30;1;56.00;No;No;Uni com
136567;Hombre;2008;1986;33;22;1;13.00;Si;Si;Sec com
136568;Mujer;2008;1972;47;36;3;8.00;Si;No;Prim com
136569;Mujer;2008;1974;45;34;3;45.00;No;Si;Prim inc
136570;Hombre;2008;1977;42;31;4;58.00;Si;Si;Sec com
136571;Hombre;2008;1984;35;24;1;65.00;Si;Si;Prim inc
136572;Hombre;2008;1976;43;32;1;51.00;Si;Si;Sec com
136573;Hombre;2008;1979;40;29;2;41.00;Si;Si;Prim inc
136574;Hombre;2008;1983;36;25;0;74.00;Si;Si;Prim inc
136575;Hombre;2008;1982;37;26;0;8.00;No;Si;Prim com
136576;Hombre;2008;1971;48;37;2;50.00;Si;Si;Sec com
136577;Hombre;2008;1972;47;36;1;37.00;No;Si;Sec com
136578;Hombre;2008;1980;39;28;1;64.00;No;Si;Prim com
136579;Hombre;2008;1980;39;28;2;52.00;No;Si;Prim com
136580;Hombre;2008;1971;48;37;2;21.00;Si;Si;Uni com
136581;Mujer;2008;1984;35;24;1;37.00;Si;No;Prim com
136582;Hombre;2008;1975;44;33;1;7.00;Si;Si;Prim com
136583;Hombre;2008;1983;36;25;0;20.00;No;Si;Prim inc
136584;Mujer;2008;1971;48;37;3;69.00;No;No;Prim inc
136585;Hombre;2008;1984;35;24;2;49.00;No;Si;Sec com
136586;Mujer;2008;1986;33;22;2;27.00;Si;No;Prim com
136587;Hombre;2008;1980;39;28;2;31.00;No;Si;Prim com
136588;Mujer;2008;1975;44;33;3;61.00;No;No;Prim inc
136589;Mujer;2008;1981;38;27;3;48.00;No;No;Prim com
136590;Hombre;2008;1981;38;27;0;47.00;No;Si;Prim inc
136591;Hombre;2008;1974;45;34;1;64.00;No;Si;Sec com
136592;Hombre;2008;1984;35;24;2;37.00;Si;Si;Prim inc
136593;Mujer;2008;1979;40;29;4;60.00;Si;No;Prim inc
136594;Mujer;2008;1981;38;27;3;75.00;Si;No;Sec com
136595;Hombre;2008;1976;43;32;3;56.00;No;Si;Prim inc
136596;Hombre;2008;1974;45;34;0;22.00;No;Si;Prim inc
136597;Mujer;2008;1973;46;35;3;53.00;Si;No;Prim com
136598;Mujer;2008;1972;47;36;2;44.00;Si;No;Prim inc
136599;Mujer;2008;1971;48;37;3;73.00;Si;No;Prim com
136600;Hombre;2008;1974;45;34;4;21.00;Si;Si;Uni com
136601;Mujer;2008;1985;34;23;3;2.00;No;Si;Uni com
136602;Hombre;2008;1971;48;37;1;38.00;Si;Si;Sec com
136603;Mujer;2008;1974;45;34;3;53.00;Si;No;Sec com
136604;Mujer;2008;1975;44;33;3;61.00;No;Si;Sec com
136605;Mujer;2008;1982;37;26;1;63.00;No;No;Uni com
136606;Mujer;2008;1972;47;36;0;69.00;No;Si;Sec com
136607;Mujer;2008;1984;35;24;0;50.00;No;Si;Prim com
136608;Mujer;2008;1979;40;29;4;60.00;No;Si;Sec com
136609;Hombre;2008;1983;36;25;1;20.00;Si;Si;Prim inc
136610;Mujer;2008;1973;46;35;4;59.00;No;Si;Uni com
136611;Hombre;2008;1975;44;33;4;20.00;Si;Si;Uni com
136612;Mujer;2008;1971;48;37;2;43.00;No;Si;Prim inc
136613;Mujer;2008;1973;46;35;2;58.00;No;Si;Uni com
136614;Mujer;2008;1985;34;23;2;48.00;No;Si;Uni com
136615;Mujer;2008;1976;43;32;0;12.00;No;No;Prim com
136616;Mujer;2008;1979;40;29;0;39.00;No;No;Uni com
136617;Mujer;2008;1972;47;36;4;51.00;Si;No;Uni com
136618;Hombre;2008;1973;46;35;2;56.00;Si;Si;Prim com
136619;Mujer;2008;1978;41;30;3;27.00;No;Si;Prim com
136620;Mujer;2008;1973;46;35;1;64.00;No;Si;Prim com
136621;Mujer;2008;1978;41;30;0;12.00;Si;No;Uni com
136622;Hombre;2008;1982;37;26;4;24.00;Si;Si;Prim com
136623;Hombre;2008;1976;43;32;3;8.00;Si;Si;Prim com
136624;Hombre;2008;1982;37;26;0;16.00;No;Si;Prim inc
136625;Hombre;2008;1982;37;26;2;75.00;No;Si;Uni com
136626;Mujer;2008;1982;37;26;4;38.00;Si;No;Uni com
136627;Hombre;2008;1980;39;28;0;59.00;No;Si;Prim inc
136628;Hombre;2008;1977;42;31;4;47.00;No;Si;Prim com
136629;Hombre;2008;1971;48;37;4;24.00;Si;Si;Uni com
136630;Mujer;2008;1974;45;34;3;51.00;Si;No;Sec com
136631;Hombre;2008;1985;34;23;0;11.00;Si;Si;Sec com
136632;Hombre;2008;1980;39;28;2;64.00;No;Si;Sec com
136633;Hombre;2008;1985;34;23;1;24.00;No;Si;Prim inc
136634;Hombre;2008;1973;46;35;4;13.00;Si;Si;Uni com
136635;Hombre;2008;1978;41;30;1;49.00;Si;Si;Prim inc
136636;Hombre;2008;1971;48;37;3;34.00;No;Si;Uni com
136637;Hombre;2008;1983;36;25;0;35.00;Si;Si;Sec com
136638;Hombre;2008;1979;40;29;2;72.00;No;Si;Prim inc
136639;Hombre;2008;1982;37;26;3;27.00;Si;Si;Uni com
136640;Mujer;2008;1978;41;30;0;53.00;No;No;Prim com
136641;Hombre;2008;1972;47;36;2;15.00;Si;Si;Prim com
136642;Hombre;2008;1986;33;22;2;47.00;No;Si;Prim com
136643;Hombre;2008;1979;40;29;0;33.00;Si;Si;Prim com
136644;Mujer;2008;1980;39;28;3;61.00;Si;No;Prim com
136645;Mujer;2008;1986;33;22;2;37.00;Si;No;Prim com
136646;Mujer;2008;1976;43;32;2;56.00;No;No;Prim inc
136647;Hombre;2008;1981;38;27;3;4.00;Si;Si;Prim com
136648;Hombre;2008;1976;43;32;1;31.00;No;Si;Uni com
136649;Hombre;2008;1972;47;36;1;4.00;Si;No;Uni com
136650;Mujer;2008;1981;38;27;0;48.00;Si;No;Prim inc
136651;Hombre;2008;1981;38;27;4;14.00;No;Si;Sec com
136652;Hombre;2008;1979;40;29;4;4.00;No;Si;Uni com
136653;Hombre;2008;1978;41;30;0;59.00;No;No;Sec com
136654;Hombre;2008;1984;35;24;1;70.00;Si;Si;Prim com
136655;Hombre;2008;1981;38;27;2;27.00;No;Si;Uni com
136656;Hombre;2008;1972;47;36;4;16.00;Si;Si;Sec com
136657;Hombre;2008;1972;47;36;2;23.00;Si;Si;Uni com
136658;Hombre;2008;1972;47;36;4;72.00;Si;Si;Prim com
136659;Mujer;2008;1973;46;35;0;43.00;No;Si;Prim com
136660;Mujer;2008;1978;41;30;1;35.00;No;Si;Uni com
136661;Mujer;2008;1985;34;23;3;33.00;No;Si;Uni com
136662;Mujer;2008;1973;46;35;2;42.00;No;Si;Sec com
136663;Hombre;2008;1976;43;32;0;25.00;Si;No;Uni com
136664;Hombre;2008;1976;43;32;1;61.00;Si;Si;Prim inc
136665;Mujer;2008;1977;42;31;1;27.00;No;Si;Sec com
136666;Mujer;2008;1976;43;32;3;67.00;No;Si;Prim inc
136667;Hombre;2008;1983;36;25;2;55.00;Si;No;Prim com
136668;Hombre;2008;1976;43;32;2;52.00;Si;Si;Uni com
136669;Hombre;2008;1981;38;27;1;2.00;No;Si;Uni com
136670;Hombre;2008;1986;33;22;2;4.00;Si;Si;Sec com
136671;Hombre;2008;1985;34;23;1;65.00;Si;No;Sec com
136672;Hombre;2008;1980;39;28;2;50.00;Si;No;Uni com
136673;Hombre;2008;1978;41;30;1;12.00;No;No;Prim com
136674;Hombre;2008;1972;47;36;3;43.00;Si;No;Uni com
136675;Mujer;2008;1982;37;26;0;51.00;No;Si;Sec com
136676;Hombre;2008;1985;34;23;0;5.00;Si;Si;Uni com
136677;Hombre;2008;1981;38;27;2;37.00;No;No;Uni com
136678;Hombre;2008;1977;42;31;4;9.00;Si;Si;Prim inc
136679;Mujer;2008;1979;40;29;3;20.00;No;Si;Sec com
136680;Mujer;2008;1975;44;33;4;34.00;Si;Si;Prim inc
136681;Mujer;2008;1981;38;27;0;24.00;No;Si;Prim com
136682;Mujer;2008;1973;46;35;0;42.00;Si;Si;Sec com
136683;Mujer;2008;1983;36;25;2;63.00;Si;Si;Uni com
136684;Mujer;2008;1982;37;26;0;42.00;No;Si;Sec com
136685;Mujer;2008;1986;33;22;1;24.00;No;Si;Prim com
136686;Hombre;2008;1978;41;30;1;53.00;No;Si;Prim com
136687;Mujer;2008;1975;44;33;2;13.00;Si;Si;Prim inc
136688;Mujer;2008;1982;37;26;0;49.00;Si;Si;Sec com
136689;Hombre;2008;1974;45;34;3;67.00;No;Si;Prim inc
136690;Hombre;2008;1980;39;28;0;7.00;No;Si;Prim com
136691;Mujer;2008;1983;36;25;0;37.00;Si;Si;Sec com
136692;Hombre;2008;1975;44;33;0;50.00;No;No;Prim inc
136693;Hombre;2008;1983;36;25;0;7.00;Si;Si;Prim com
136694;Mujer;2008;1976;43;32;1;29.00;Si;Si;Prim inc
136695;Mujer;2008;1984;35;24;0;54.00;Si;Si;Prim inc
136696;Hombre;2008;1977;42;31;0;12.00;Si;No;Sec com
136697;Hombre;2008;1985;34;23;1;25.00;No;Si;Prim com
136698;Hombre;2008;1973;46;35;3;74.00;No;No;Prim inc
136699;Mujer;2008;1971;48;37;0;41.00;Si;Si;Sec com
136700;Hombre;2008;1971;48;37;2;1.00;No;Si;Prim inc
136701;Hombre;2008;1981;38;27;1;26.00;No;No;Uni com
136702;Hombre;2008;1980;39;28;0;22.00;No;No;Sec com
136703;Hombre;2008;1978;41;30;2;37.00;No;Si;Sec com
136704;Hombre;2008;1982;37;26;2;54.00;No;Si;Uni com
136705;Hombre;2008;1979;40;29;4;3.00;No;Si;Prim inc
136706;Hombre;2008;1980;39;28;2;3.00;Si;Si;Uni com
136707;Mujer;2008;1976;43;32;1;42.00;Si;Si;Uni com
136708;Hombre;2008;1974;45;34;3;60.00;No;Si;Prim inc
136709;Hombre;2008;1985;34;23;0;22.00;No;No;Uni com
136710;Hombre;2008;1985;34;23;1;70.00;No;Si;Prim com
136711;Hombre;2008;1975;44;33;0;4.00;No;Si;Uni com
136712;Mujer;2008;1977;42;31;2;69.00;Si;Si;Prim inc
136713;Hombre;2008;1974;45;34;0;12.00;Si;No;Uni com
136714;Mujer;2008;1979;40;29;1;13.00;Si;Si;Uni com
136715;Mujer;2008;1986;33;22;0;19.00;Si;Si;Prim inc
136716;Mujer;2008;1978;41;30;0;18.00;Si;Si;Uni com
136717;Hombre;2008;1979;40;29;2;10.00;Si;Si;Prim inc
136718;Hombre;2008;1975;44;33;3;31.00;No;Si;Prim inc
136719;Hombre;2008;1985;34;23;0;52.00;No;Si;Prim com
136720;Hombre;2008;1971;48;37;3;70.00;No;Si;Uni com
136721;Mujer;2008;1986;33;22;2;12.00;Si;Si;Sec com
136722;Mujer;2008;1979;40;29;2;13.00;Si;Si;Uni com
136723;Mujer;2008;1978;41;30;4;37.00;No;Si;Prim com
136724;Hombre;2008;1971;48;37;2;75.00;Si;No;Uni com
136725;Mujer;2008;1981;38;27;3;29.00;Si;Si;Prim com
136726;Mujer;2008;1972;47;36;4;7.00;No;Si;Sec com
136727;Mujer;2008;1983;36;25;3;37.00;No;Si;Sec com
136728;Mujer;2008;1984;35;24;1;33.00;Si;Si;Prim inc
136729;Hombre;2008;1972;47;36;1;54.00;No;No;Prim com
136730;Mujer;2008;1981;38;27;0;3.00;Si;Si;Prim inc
136731;Hombre;2008;1984;35;24;1;10.00;No;Si;Sec com
136732;Mujer;2008;1981;38;27;2;11.00;Si;Si;Prim inc
136733;Mujer;2008;1975;44;33;0;51.00;Si;Si;Prim inc
